,,792,792,1092,1092,1192,1192,193,193,293,293,493,493,593,593,793,793,893,893,,,,,,,,,
,,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,,,,,,NYMPH MEANS CENTRAL,,,NYMPH MEANS EASTERN
"Cen, site#",1,0.72,4.41,0.44,2.84,,,0.36,2.89,,,0.49,5.53,,,0.19,2.88,,,,<-,CENTRAL TRANSECT,,,1.07,,,3.74
,2,0.16,1.67,0.22,2.61,,,0.65,1.85,,,0.59,2.1,,,0.15,2.52,,,,,,,,0.9,,,2.24
,3,0.13,0.32,0.15,0.26,,,0.44,0.83,,,0.71,0.73,,,0.24,0.84,,,,,,,,0.8,,,1.76
,4,0.11,2.02,0.07,0.89,,,1.39,1.96,,,1.55,2.83,,,1.1,4.72,,,,,,,,2.47,,,3.23
,5,0.35,2.05,0.15,1.83,,,2.32,4.26,,,2.34,5.46,,,1.53,7.3,,,,,,,,3.96,,,6.56
,6,1.18,7.8,0.09,6.6,,,0.79,5.6,,,6.12,6.46,,,1.8,8.1,,,,,,,,6.06,,,4.1
,7,1.13,8.05,0.07,7.24,,,0.66,6.81,,,0.97,6.7,,,1.59,8.06,,,,,,,,3.54,,,2.7
,8,1.03,7.58,0.06,7.75,,,0.6,5.16,,,2.78,7.25,,,1.44,8.03,,,,,,,,2,,,4.52
,9,0.66,7.29,0.36,5.52,,,1.06,4.14,,,1.49,7.14,,,1.9,8.28,,,,,,,,2.91,,,6.33
,10,0.92,8.18,0.14,7.51,,,1.1,7.68,,,1.1,6.98,,,0.69,8.22,,,,,,,,2.65,,,3.6
"Eas, site#",1,,,,,0.37,1.97,,,1.5,1.67,,,1.33,4.2,,,0.24,1.97,,<-,EASTERN TRANSECT,,,,,,
,2,,,,,0.3,1.51,,,1.79,0.9,,,0.24,1.9,,,0.29,0.76,,,,,,,,,
,3,,,,,0.37,1.02,,,2.04,1.6,,,0.29,1.15,,,0.37,1.26,,,,,,,,,
